Event,Start Date,End Date,Venue,Est Attendees
Consumer Technology Association (CTA) - CES 2024,1/7/2024,1/10/2024,Las Vegas Convention Center,70000
The PPAI Expo 2024,1/14/2024,1/16/2024,"Mandalay Bay Convention Center, Resort and Casino",33000
ANME Winter Trade Show 2024,1/15/2024,1/17/2024,Westgate Las Vegas Resort & Casino,57000
Fancy Food Show 2024,1/19/2024,1/21/2024,Las Vegas Convention Center,96000
"Shooting, Hunting & Outdoor Trade Show (SHOT Show) - 2024",1/21/2024,1/24/2024,CAESARS FORUM Conference Center,95000
World of Concrete Expo 2024,1/21/2024,1/23/2024,Las Vegas Convention Center,57000
AVN Adult Expo 2024,1/22/2024,1/25/2024,Virgin Hotels Las Vegas,43000
National LGBTQ Task Force Creating Change Conference 2024,1/22/2024,1/26/2024,Rio Hotel & Casino,49000
Las Vegas Market - Winter 2024,1/26/2024,1/30/2024,The Expo at World Market Center Las Vegas,18000
The International Surface Event - TISE 2024,1/27/2024,1/30/2024,"Mandalay Bay Convention Center, Resort and Casino",33000
Advanced Breast Imaging: Current Diagnosis & Work Up of Problematic Breast Cases,1/29/2024,1/30/2024,Wynn Las Vegas,100000
Total Products Expo 2024,1/29/2024,1/31/2024,Las Vegas Convention Center,50000
The ARA Show 2024,1/30/2024,2/1/2024,Las Vegas Convention Center,6000
Himalayan International Expo- 2024,1/31/2024,2/2/2024,Las Vegas Convention Center,30000
Knowledgefest 2024,1/31/2024,2/2/2024,Paris Las Vegas,31000
Nevada DECA - 2024 Conference,2/2/2024,2/6/2024,Alexis Park All Suite Resort,18000
Pink25,2/2/2024,2/5/2024,Bellagio,77000
Dynatrace LLC-Perform Conference 2024,2/3/2024,2/7/2024,ARIA Resort & Casino,44000
AIMExpo 2024,2/5/2024,2/7/2024,Las Vegas Convention Center,52000
Manifest Show 2024,2/7/2024,2/13/2024,The Venetian Resort Las Vegas,86000
Silver State All-Breed Dog Show 2024,2/7/2024,2/9/2024,Buffalo Bill's Resort and Casino,71000
Off-Price Las Vegas - Spring 2024,2/9/2024,2/12/2024,The Venetian Resort Las Vegas,7000
International Franchise Association Annual Conference 2024,2/10/2024,2/13/2024,"Mandalay Bay Convention Center, Resort and Casino",43000
Receivables Management Association Annual Conference 2024,2/10/2024,2/14/2024,ARIA Resort & Casino,51000
CHAMPS Trade Show Winter 2024,2/12/2024,2/15/2024,Las Vegas Convention Center,18000
Funnel Hacking Live 2024,2/12/2024,2/15/2024,CAESARS FORUM Conference Center,69000
THE Las Vegas Dance Nationals (Powered by Stage 8),2/15/2024,2/15/2024,Las Vegas Convention Center,35000
Keller Williams Realty - 2024 Family Reunion,2/17/2024,2/21/2024,"Mandalay Bay Convention Center, Resort and Casino",5000
CueSports International EXPO 2024,2/19/2024,3/1/2024,Rio Hotel & Casino,15000
National Grocers Association - The NGA Show 2024,2/23/2024,2/25/2024,Caesars Palace,48000
Structured Finance Association - SFVegas Conference 2024,2/23/2024,2/26/2024,ARIA Resort & Casino,48000
Kitchen and Bath Industry Show 2024,2/25/2024,2/27/2024,Las Vegas Convention Center,75000
NATSO Connect 2024,2/25/2024,3/1/2024,Caesars Palace,45000
Las Vegas College Baseball Classic 2024,2/28/2024,3/2/2024,Las Vegas Ballpark,27000
Education Credit Union Council Annual Conference 2024,3/4/2024,3/8/2024,Caesars Palace,17000
Dice Tower West 2024,3/5/2024,3/9/2024,Westgate Las Vegas Resort & Casino,74000
American College of Radiation Oncology Annual Meeting 2024,3/12/2024,3/15/2024,Planet Hollywood Resort & Casino,54000
WPPI Wedding & Portrait Photographers Conference Expo 2024,3/16/2024,3/20/2024,Rio Hotel & Casino,47000
Adobe Summit 2024,3/17/2024,3/20/2024,The Venetian Expo,56000
EV Charging Summit 2024,3/17/2024,3/21/2024,Westgate Las Vegas Resort & Casino,75000
Transform,3/17/2024,3/19/2024,Wynn Las Vegas,43000
Amusement Expo 2024,3/19/2024,3/20/2024,Las Vegas Convention Center,30000
International Wireless Communications Expo 2024,3/19/2024,3/20/2024,Las Vegas Convention Center,27000
"The Minerals, Metals, And Materials Society (TMS) - 2024 Annual Meeting & Exhibition",3/23/2024,3/27/2024,MGM Grand Hotel and Casino,45000
Channel Partners Conference & Expo 2024,3/24/2024,3/27/2024,The Venetian Resort Las Vegas,83000
Shoptalk 2024,3/24/2024,3/27/2024,"Mandalay Bay Convention Center, Resort and Casino",89000
Bar & Restaurant Expo (NCB) 2024,3/25/2024,3/26/2024,Las Vegas Convention Center,7000
Travel Goods Trade Show 2024,3/25/2024,3/27/2024,Las Vegas Convention Center,64000
CinemaCon 2024,3/31/2024,4/3/2024,Caesars Palace,19000
International Security Conference (ISC) West 2024,4/1/2024,4/4/2024,The Venetian Expo,93000
Renal Physicians Association-Annual Meeting 2024,4/1/2024,4/6/2024,JW Marriott Resort & Spa,48000
Rheem Pro Partner Conference 2024,4/2/2024,4/3/2024,"Mandalay Bay Convention Center, Resort and Casino",34000
Anxiety and Depression Association of America ADAA Conference,4/3/2024,4/5/2024,Westgate Las Vegas Resort & Casino,23000
CME Science (CMES) Comprehensive Tutorial in Breast Imaging:  Evidence-based and Interactive Approach,4/3/2024,4/4/2024,Wynn Las Vegas,59000
National Association Of Campus Card Users 2024 Annual Conference,4/3/2024,4/9/2024,The Westin Lake Las Vegas Resort & Spa,63000
International Association for Chemical Testing-Annual Conference 2024,4/5/2024,4/11/2024,SAHARA Las Vegas,77000
Google Cloud Next,4/9/2024,4/11/2024,"Mandalay Bay Convention Center, Resort and Casino",77000
Nevada Bridal & Wedding Expo - April 2024,4/13/2024,4/13/2024,Las Vegas Convention Center,43000
Empower 2024,4/14/2024,4/16/2024,"Mandalay Bay Convention Center, Resort and Casino",26000
National Automotive Parts Association National Ownership Workshop NAPA NOW,4/14/2024,4/17/2024,The Venetian Resort Las Vegas,81000
Humane Society Animal Care Expo,4/15/2024,4/18/2024,CAESARS FORUM Conference Center,52000
Customer Connect Expo 2024,4/16/2024,4/17/2024,Las Vegas Convention Center,33000
White Label World Expo 2024,4/16/2024,4/17/2024,Las Vegas Convention Center,80000
Far West Athletic Trainers Association (FWATA) - Annual Meeting and Clinical Symposium 2024,4/17/2024,4/20/2024,South Point Hotel Casino & Spa,51000
Connect Spring Marketplace 2024,4/20/2024,4/26/2024,Wynn Las Vegas,95000
Infusion Nurses Society-Annual Meeting & Exhibition 2024,4/23/2024,4/29/2024,Paris Las Vegas,76000
Agents Brokers United National Insurance Trade Show Convention 2024,4/25/2024,4/27/2024,Planet Hollywood Resort & Casino,86000
American Urological Association - 2024  Annual Conference,4/26/2024,4/29/2024,The Venetian Expo,1000
The Carwash Show 2024,4/26/2024,4/28/2024,Las Vegas Convention Center,91000
Asembia’s AXS25 Summit,4/27/2024,5/1/2024,Wynn Las Vegas,5000
Dynatrace LLC-Sales Kick Off 2024,4/27/2024,4/30/2024,The Cosmopolitan of Las Vegas,42000
Meeting May 2024,4/28/2024,5/1/2024,Waldorf Astoria Las Vegas,91000
The Cooperator Expo Las Vegas 2024,5/1/2024,5/1/2024,Las Vegas Convention Center,37000
Society of Industrial & Office Realtors-Spring Event 2024,5/4/2024,5/9/2024,Caesars Palace,56000
HD Expo + Conference 2024,5/6/2024,5/8/2024,"Mandalay Bay Convention Center, Resort and Casino",15000
LIGHTFAIR International - 2024,5/6/2024,5/8/2024,Las Vegas Convention Center,57000
ServiceNow Knowledge 2024,5/6/2024,5/8/2024,The Venetian Expo,56000
Waste Expo 2024,5/6/2024,5/8/2024,Las Vegas Convention Center,46000
NAMA 2024,5/7/2024,5/9/2024,Las Vegas Convention Center,23000
2024 AAOM Annual Conference,5/14/2024,5/17/2024,JW Marriott Resort & Spa,66000
American Academy of Dental Sleep Medicine-Annual Meeting 2024,5/14/2024,5/18/2024,Westgate Las Vegas Resort & Casino,57000
Annual Financial Leadership Summit 2024,5/16/2024,5/20/2024,JW Marriott Resort & Spa,34000
ICSC Las Vegas 2024,5/19/2024,5/20/2024,Las Vegas Convention Center,69000
Licensing International Expo 2024,5/20/2024,5/22/2024,"Mandalay Bay Convention Center, Resort and Casino",40000
Bitcoin 2024,5/27/2024,5/29/2024,The Venetian Expo,77000
"Gartner, Inc-Application & Solutions Summit 2024",5/29/2024,6/6/2024,Caesars Palace,58000
Professional Asian Pilots Association (PAPA) Aerospace Expo 2024,6/2/2024,6/5/2024,Westgate Las Vegas Resort & Casino,71000
Annual Conference of the United Methodist Church 2024,6/4/2024,6/8/2024,Rio Hotel & Casino,98000
Couture 2024,6/4/2024,6/8/2024,Wynn Las Vegas,45000
