Date,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
2024-11-01,71,58.5,47,29,25.2,22,42,29.1,20,7,3,0,27.7,27.6,27.6,0
2024-11-02,69,61.2,55,34,28.5,24,42,29.3,23,10,5.5,0,27.5,27.5,27.4,0
2024-11-03,67,59.8,53,36,26.9,21,45,29.2,21,22,13.5,5,27.7,27.5,27.4,0
2024-11-04,65,56.9,49,27,23.1,19,37,27.9,21,28,15.1,3,27.8,27.8,27.7,0
2024-11-05,65,55.9,45,27,21.8,14,37,27.4,20,23,7.5,0,27.8,27.6,27.5,0
2024-11-06,60,53.3,47,21,15.4,11,27,22.4,20,21,12.5,3,27.9,27.8,27.7,0
2024-11-07,63,53.3,46,24,14.7,8,24,21.7,20,20,11.2,0,27.9,27.9,27.8,0
2024-11-08,64,52.9,42,25,16,6,30,23.5,20,9,4.6,0,27.9,27.8,27.7,0
2024-11-09,67,54.2,43,29,23,17,41,30.5,23,7,3.5,0,27.8,27.7,27.7,0
2024-11-10,69,55.4,43,31,26,23,47,33,24,7,4,0,27.8,27.8,27.7,0
2024-11-11,73,60.2,45,36,28.7,23,46,31.5,21,23,7.7,0,27.8,27.6,27.5,0
2024-11-12,65,57.1,50,35,23.3,17,42,27.3,24,26,14,0,27.9,27.7,27.6,0
2024-11-13,63,52.2,41,28,22.5,17,42,32.1,25,9,5.1,0,27.9,27.8,27.8,0
2024-11-14,64,52.6,41,28,24.6,21,49,34.9,25,10,4,0,27.8,27.6,27.4,0
2024-11-15,63,53.6,45,38,30.5,22,61,42.3,30,24,11.3,0,27.5,27.4,27.4,0
2024-11-16,61,51.8,44,32,26.1,19,60,38.7,26,20,11.7,0,27.7,27.6,27.5,0
2024-11-17,61,52,44,26,21.5,19,39,30.7,24,20,8.9,0,27.7,27.6,27.6,0
2024-11-18,62,52.2,41,27,20.5,14,38,29.3,23,23,6,0,27.7,27.6,27.5,0
2024-11-19,56,48.7,41,20,13.6,5,27,24.5,21,16,6.7,0,27.9,27.8,27.7,0
2024-11-20,60,48.5,38,25,15.7,8,33,27.2,24,9,3.7,0,28,27.9,27.9,0
2024-11-21,64,49.4,36,29,18.8,12,41,30.4,24,8,4.2,0,27.9,27.9,27.8,0
