Date,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
12/1/24,63,50.6,37,35,25.3,17,51,38.2,24,24,9.3,0,27.6,27.6,27.5,0
12/2/24,62,56.8,49,37,35,33,59,44.4,36,32,8.8,0,27.8,27.7,27.5,0
12/3/24,63,54.6,47,35,32.7,29,56,44.3,31,9,2.8,0,27.9,27.8,27.8,0
12/4/24,66,56,44,42,38.2,33,68,52.2,38,21,7.3,0,27.8,27.7,27.6,0
12/5/24,63,54.7,46,46,38,32,83,55.4,32,14,7.3,0,27.6,27.6,27.5,0
12/6/24,58,49.4,41,37,32.8,31,67,53.7,39,8,3,0,27.7,27.7,27.6,0
12/7/24,57,48.3,41,33,31.3,29,67,53.2,36,14,4.4,0,27.9,27.8,27.7,0
12/8/24,56,45.7,36,31,27.8,25,70,51.3,34,9,3.2,0,28,27.9,27.8,0
12/9/24,56,46,38,28,26.5,24,65,48,30,6,1.8,0,27.9,27.8,27.8,0
12/10/24,58,48.8,39,27,24.8,21,60,41.4,27,13,6.2,0,27.8,27.7,27.6,0
12/11/24,56,49,40,44,27.3,21,77,44.4,30,24,8.7,0,27.6,27.5,27.4,0
12/12/24,50,42.5,35,28,24.6,22,67,50.5,33,8,4.6,0,27.5,27.5,27.4,0.09
12/13/24,52,45.6,40,29,22.8,19,60,41.9,27,20,11.2,3,27.8,27.7,27.5,0
12/14/24,54,44.3,36,23,20.5,16,57,40.6,23,15,6.8,0,27.9,27.8,27.8,0
12/15/24,56,44.4,34,22,20.8,20,56,40.6,25,10,5,0,27.9,27.9,27.8,0
12/16/24,51,41.8,32,22,17.5,13,61,40,23,7,3.2,0,28,27.9,27.9,0
12/17/24,50,39.2,29,19,16,13,58,41,24,6,2.8,0,27.9,27.8,27.7,0
12/18/24,51,40.3,31,18,15.3,12,54,38.3,21,7,3,0,27.8,27.7,27.7,0
12/19/24,52,40.9,30,20,16.4,13,59,39.5,21,7,3,0,28,27.9,27.8,0
12/20/24,56,45,37,21,17.9,15,50,35.7,21,6,2.6,0,28,27.9,27.9,0
12/21/24,59,47.9,38,24,19.8,15,45,33.8,21,12,5.2,0,27.9,27.8,27.8,0
12/22/24,59,48.8,39,29,25,21,51,40.4,28,7,1.8,0,27.8,27.8,27.8,0
12/23/24,62,50.8,42,29,26.5,23,60,40.9,23,7,3.5,0,27.9,27.9,27.8,0
12/24/24,66,52.6,41,29,25.8,23,49,36.8,22,10,4,0,28.1,28,27.9,0
12/25/24,68,55.2,45,31,28.4,27,49,37,23,10,4.4,0,28,28,27.9,0
12/26/24,66,54.8,44,33,31,29,58,41.6,28,6,3,0,27.9,27.9,27.7,0
12/27/24,70,58,50,45,34.7,25,62,43.5,18,22,9.3,0,27.7,27.5,27.4,0
12/28/24,64,56.1,48,44,25.9,9,74,38.2,14,23,10.8,3,27.6,27.5,27.4,0
12/29/24,56,48,43,30,21.1,13,51,35.1,27,10,4.6,0,27.7,27.6,27.6,0
12/30/24,52,48.2,40,44,35,26,80,60.8,50,9,5.1,0,27.7,27.7,27.6,0
12/31/24,64,55,46,47,43.1,41,86,66.2,45,23,10,0,27.6,27.5,27.4,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1/1/25,59,53.1,48,48,38.2,26,83,58.6,42,28,16.3,6,27.4,27.3,27.2,0.17
1/2/25,53,48.2,43,35,24.3,21,68,40.1,30,17,6.8,0,27.6,27.5,27.4,0.02
1/3/25,53,47,42,38,36,32,82,66.9,45,9,4.2,0,27.8,27.7,27.6,0.01
1/4/25,51,48.2,43,43,39.7,37,83,72.5,61,8,4.9,0,27.9,27.8,27.8,0
1/5/25,53,49.3,46,48,42.8,39,86,78.5,61,14,5.9,0,27.8,27.7,27.6,0
1/6/25,60,48.5,40,39,36.1,27,83,64.7,28,13,6.6,3,27.9,27.9,27.7,0.1
1/7/25,55,46.5,38,38,35.1,32,82,65.8,47,8,3.9,0,27.9,27.9,27.9,0
1/8/25,57,48.2,39,37,35.4,33,79,62.7,44,12,3.8,0,27.9,27.8,27.8,0
1/9/25,57,51.7,48,43,38,35,74,60.1,44,10,3.4,0,27.8,27.7,27.7,0
1/10/25,61,52.4,49,47,37.1,29,83,57,41,28,12,0,27.7,27.6,27.5,0.05
1/11/25,56,47.3,39,36,32.1,29,73,56.8,38,9,4.1,0,28,27.9,27.7,0.13
1/12/25,58,48.1,38,35,32.5,30,76,56.8,35,7,2.9,0,28.1,28,27.9,0
1/13/25,58,49.4,41,34,31.8,28,67,52.3,32,8,3.4,0,27.9,27.8,27.7,0
1/14/25,55,48.7,43,45,37.3,33,83,65.9,49,13,6,0,27.7,27.5,27.4,0
1/15/25,57,52.3,47,40,34,29,77,50.9,38,22,12.5,0,27.4,27.4,27.3,0.13
1/16/25,60,52.1,46,45,36.3,23,93,59.4,28,31,12.3,0,27.4,27.3,27.2,0.03
1/17/25,53,49.1,45,32,27.9,19,58,44.7,31,22,14.7,7,27.6,27.4,27.3,0.05
1/18/25,53,45.5,38,27,20.5,18,65,38.5,25,16,8.1,0,27.8,27.8,27.6,0
1/19/25,49,42.3,35,30,25.7,21,70,53,38,21,6.3,0,27.8,27.7,27.7,0
1/20/25,52,46,41,24,18.6,16,51,34.4,25,28,17,8,28,27.9,27.7,0
1/21/25,52,43.8,38,21,17.5,13,51,36.4,21,17,6.9,0,28,28,27.9,0
1/22/25,54,42,32,21,15,6,61,36.4,17,23,10.8,0,27.8,27.7,27.6,0
1/23/25,55,47.4,41,18,14.5,11,33,27,22,28,18.9,10,27.9,27.7,27.6,0
1/24/25,60,49.3,40,18,16.4,14,40,28,16,22,11.4,0,28,28,27.9,0
1/25/25,59,48.8,39,22,18.9,16,43,31.3,21,16,7.8,0,28.1,28,28,0
1/26/25,59,48.9,41,24,20.3,16,47,33.6,19,20,6.8,0,28.2,28.1,28,0
1/27/25,57,46.3,37,25,22.2,20,53,39.7,26,10,3.8,0,28,27.8,27.6,0
1/28/25,57,46,36,25,24.1,23,62,44.1,27,6,2.6,0,27.7,27.6,27.6,0
1/29/25,59,49.1,37,38,26.4,23,66,43,27,17,7.5,0,27.5,27.5,27.4,0
1/30/25,48,43.6,39,41,32.2,16,86,65.6,39,20,7.8,0,27.8,27.7,27.5,0.1
1/31/25,51,42.4,34,13,5.2,0,36,22.6,12,24,11.3,0,27.9,27.9,27.8,0.04
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
2/1/25,55,44.2,33,23,15.8,11,49,33,22,8,4.7,0,28,27.9,27.9,0
2/2/25,59,47.3,35,25,23.3,21,61,41,23,6,3.2,0,28.1,28,28,0
2/3/25,61,50.8,40,27,25,22,58,38.4,24,10,4.4,0,28,27.9,27.9,0
2/4/25,62,51.1,40,29,26,24,55,39.5,24,7,3.1,0,27.9,27.8,27.8,0
2/5/25,66,55,43,38,27.5,16,53,37.4,15,26,10.5,0,27.8,27.7,27.6,0
2/6/25,60,54,49,27,20.6,18,38,27.6,20,29,17.6,6,28,27.8,27.7,0
2/7/25,61,52,45,22,20.3,19,37,29.3,20,20,10.6,0,28,28,27.9,0
2/8/25,64,52.7,42,27,24.5,23,49,34.8,22,9,3.3,0,28,27.9,27.9,0
2/9/25,60,51.5,42,20,12.4,3,38,22.6,11,17,7,0,28.1,28,27.9,0
2/10/25,60,48,35,16,11.2,3,46,25.2,11,10,3.7,0,28.1,27.9,27.7,0
2/11/25,63,52.2,44,16,12.5,10,31,21.4,13,13,5.7,0,27.7,27.6,27.5,0
2/12/25,68,56.6,44,19,15.5,12,37,21.5,12,16,8,0,27.6,27.6,27.5,0
2/13/25,64,56.1,47,29,20.3,14,44,26.2,17,15,5.3,0,27.6,27.5,27.4,0
2/14/25,52,43.6,38,34,21,0,82,45.4,16,45,15.3,0,27.5,27.4,27.3,0
2/15/25,55,44.5,36,11,4.5,-7,30,20.6,8,29,15.8,6,27.9,27.7,27.5,0.02
2/16/25,50,42.6,34,8,5.8,3,32,22.8,15,12,6.5,0,28,28,27.9,0
2/17/25,56,45.3,37,11,7.5,3,31,22.7,12,7,4.7,0,28,27.9,27.8,0
2/18/25,61,48.7,36,18,13.3,10,39,25.5,15,9,4.2,0,27.8,27.8,27.7,0
2/19/25,66,52,41,19,17,14,40,27,14,7,3.5,0,27.8,27.8,27.7,0
2/20/25,69,55.8,45,21,17.6,16,34,23.9,13,12,3.5,0,27.8,27.8,27.6,0
2/21/25,71,58.6,45,33,23.4,15,42,27.1,14,31,13.6,0,27.6,27.2,26.9,0
2/22/25,50,44.1,40,31,19,6,67,38.4,17,26,11.4,0,27.4,27.2,27,0
2/23/25,50,43.3,38,29,21.9,17,60,43.4,32,22,13,0,27.6,27.5,27.4,0
2/24/25,50,44.9,36,33,29,24,67,54.1,46,16,8.5,0,27.8,27.7,27.6,0
2/25/25,61,49.8,41,41,32.9,29,85,55.3,32,21,11.2,3,27.7,27.6,27.4,0
2/26/25,52,45.2,35,35,29.5,24,89,57.4,34,15,7,0,27.7,27.6,27.5,0.28
2/27/25,59,51,40,34,29.2,27,63,44.4,29,29,16.7,5,27.7,27.6,27.5,0
2/28/25,55,50.1,43,33,25.5,22,59,39.5,28,24,10.6,0,27.6,27.5,27.4,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
3/1/25,50,45,39,37,30.9,21,82,59.8,32,22,13.1,3,27.4,27.3,27.3,0
