Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in),
Jan,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,61,51.9,43,36,32.5,27,74,49.7,31,10,3.5,0,27.9,27.8,27.8,0,
2,60,50.8,43,29,25.6,22,51,38.9,24,9,3.6,0,27.9,27.8,27.8,0,
3,51,45.9,42,41,34,27,79,63.9,50,22,8.6,0,27.7,27.6,27.6,0,
4,58,51.3,45,34,28,25,65,42.2,30,25,15.5,7,27.8,27.7,27.6,0.02,
5,60,50.6,44,25,21.6,14,47,33.3,22,23,13,3,27.9,27.8,27.8,0,
6,48,44.8,40,19,15.5,13,36,31,24,17,6.9,0,27.9,27.7,27.4,0,
7,50,44.9,41,31,14,7,62,30.8,18,28,20.7,3,27.7,27.5,27.4,0,
8,49,42.5,36,10,8,5,33,24.9,17,24,14.9,0,28,27.9,27.6,0,
9,49,39.2,31,16,11.5,9,46,33.1,21,6,4,0,28,27.8,27.6,0,
10,49,39.2,29,23,16.4,14,56,41.3,27,7,3.1,0,27.6,27.5,27.3,0,
11,49,42.3,34,30,16.1,8,68,37.4,19,26,14.9,3,27.8,27.6,27.3,0,
12,47,38.9,29,18,14,12,51,37.1,25,7,3.4,0,27.9,27.8,27.7,0,
13,51,41.6,31,19,17.1,15,57,39.3,25,8,4.6,0,27.8,27.7,27.6,0,
14,57,44.9,35,23,20.4,19,52,39.2,25,9,4.2,0,27.7,27.7,27.6,0,
15,56,45.7,38,31,27.4,23,60,49.8,34,7,3.5,0,27.8,27.8,27.7,0,
16,59,47.1,36,27,25.7,23,65,45.3,26,8,3.1,0,27.9,27.8,27.7,0,
17,57,47.9,41,28,26.5,25,56,44.5,30,8,4,0,27.7,27.6,27.6,0,
18,63,50.5,38,31,29.4,28,68,46.4,29,12,3.9,0,27.9,27.8,27.7,0,
19,62,52.9,45,31,29.4,28,54,41.8,28,7,2.8,0,27.8,27.8,27.7,0,
20,60,53.5,48,45,35.2,31,74,51.1,36,7,2.9,0,27.6,27.6,27.5,0,
21,54,51.3,48,48,46.7,43,93,84.3,74,7,3.5,0,27.6,27.6,27.5,0,
22,53,51.3,49,50,48.1,47,93,88.8,86,15,6.3,0,27.6,27.5,27.5,0.08,
