Property Count,Property Name,Exhibit Meeting Area,Hotel Room Inventory
1,Ahern Luxury Boutique Hotel,"28,000",203
2,Alexis Park All Suite Resort,"50,000",496
3,Aliante Casino + Hotel + Spa,"30,000",202
4,ARIA Resort & Casino,"500,000","4,002"
5,Arizona Charlie's Boulder,"1,665",303
6,Arizona Charlie's Decatur,"4,500",259
7,Baymont Inn & Suites by Wyndham Las Vegas South Strip,"2,975",110
8,Bellagio,"200,000","3,933"
9,Best Western Hoover Dam Hotel,300,99
10,Best Western Plus Henderson Hotel,"3,000",108
11,Best Western Plus Las Vegas South Henderson,"2,711",99
12,Boulder Dam Hotel,500,21
13,Boulder Station Hotel-Casino,"12,000",299
14,Caesars Palace,"300,000","3,794"
15,California Hotel and Casino,"7,032",779
16,Circa Resort & Casino,"33,000",512
17,Club de Soleil,"2,000",78
18,Comfort Inn & Suites - Henderson,"1,000",127
19,Comfort Inn & Suites - Las Vegas Nellis,500,81
20,Conference Center of Las Vegas,"15,000",48
21,The Cosmopolitan of Las Vegas,"200,000","3,033"
22,Courtyard Las Vegas Convention Center,"1,273",149
23,Courtyard Las Vegas Henderson/Green Valley,"1,456",155
24,Courtyard Las Vegas South,"1,803",158
25,the D Las Vegas,"11,000",629
26,Delano Las Vegas,"196,000","1,117"
27,DoubleTree by Hilton Las Vegas Airport,"3,087",190
28,DoubleTree by Hilton Las Vegas East Flamingo,"1,500",129
29,Downtown Grand Hotel & Casino,"46,674","1,124"
30,Durango Casino & Resort,"20,000",211
31,El Cortez Hotel & Casino,"3,200",300
32,element Las Vegas Summerlin,441,123
33,"Ellis Island Hotel, Casino & Brewery",920,289
34,Embassy Suites by Hilton Convention Center,"11,000",286
35,Embassy Suites by Hilton Las Vegas,"6,000",220
36,Emerald Suites - South Las Vegas Blvd,760,388
37,Encore at Wynn Las Vegas,"60,000","2,034"
38,Excalibur Hotel and Casino,"12,226","3,981"
39,Extended Stay America East Flamingo,"1,450",125
40,Fairfield Inn & Suites Las Vegas Airport South,"2,723",105
41,Fairfield Inn & Suites Las Vegas South,204,141
42,Fairfield Inn Las Vegas Convention Center,625,128
43,Flamingo Las Vegas,"73,000","3,446"
44,Fontainebleau Las Vegas,"550,000","3,644"
45,Four Queens Hotel and Casino,"10,300",694
46,Four Seasons Hotel Las Vegas,"30,000",424
47,Fremont Hotel and Casino,"7,330",447
48,Gold Coast Hotel and Casino,"30,000",705
49,Golden Nugget,"40,000","2,419"
50,Green Valley Ranch Resort & Spa,"65,000",495
51,Hampton Inn & Suites Las Vegas Airport,"1,264",129
52,Hampton Inn & Suites/Home2 Suites By Hilton Las Vegas Convention Center,"1,100",250
53,Hampton Inn & Suites Las Vegas Red Rock/Summerlin,520,106
54,Hampton Inn & Suites Las Vegas South,"2,500",133
55,Hampton Inn & Suites Las Vegas-Henderson,"1,200",99
56,Hampton Inn Las Vegas North Speedway,650,96
57,Hampton Inn Las Vegas Strip South,"1,025",115
58,Hampton Inn Las Vegas/Summerlin,650,127
59,Hampton Inn Tropicana,"10,000",322
60,Harrah's Las Vegas,"25,000","2,541"
61,Hawthorn Suites by Wyndham,750,72
62,Hilton Garden Inn Henderson,"1,350",139
63,Hilton Garden Inn Las Vegas City Center,"1,200",172
64,Hilton Garden Inn Las Vegas Strip South,"3,500",155
65,Hilton Grand Vacations at the Flamingo,946,42
66,Hilton Grand Vacations Club Elara Center Strip Las Vegas,"3,275","1,200"
67,Hilton Grand Vacations on Paradise,"1,092",200
68,Hilton Grand Vacations on the Las Vegas Strip,798,425
